id,title,source,link,current_theme
3,,RSS,,Unclassified
24,Mcap of 7 of top-10 valued firms erodes by ₹1.54 lakh cr; Reliance takes biggest hit,RSS,,Unclassified
25,Zepto shares crash 30% in unlisted market despite Sebi nod for IPO. What's cooking? ,RSS,,Unclassified
26,Mcap of 7 of top-10 valued firms erodes by Rs 1.54 lakh cr; Reliance takes biggest hit ,RSS,,Unclassified
27,Patanjali Foods Q4 Results: Profit jumps 46% to Rs 524 crore despite margin pressure ,RSS,,Unclassified
28,Stocks to buy under  ₹100: Sumeet Bagadia recommends three stocks to buy on Monday - 1 June 2026,RSS,,Unclassified
29,Buy or sell: Ganesh Dongre of Anand Rathi recommends three stocks to buy on Monday - 1 June 2026,RSS,,Unclassified
30,RBI MPC meeting to US-Iran war: Top five triggers that may dictate the Indian stock market this week,RSS,,Unclassified
31,There will be investing opportunities when the Strait of Hormuz Reopens. Think ETFs.,RSS,,Unclassified
32,Claude-maker Anthropic halves list of unauthorised share trading platforms after investor concerns: Which firms remain?,RSS,,Unclassified
33,NSE extends F&amp;O trading window following new cash market closing auction – Check new timings,RSS,,Unclassified
34,"Bond market at a turning point! Axis Mutual Fund says bond investors should buy, not panic",RSS,,Unclassified
35,Small-cap stock to be in focus on Monday; here's why,RSS,,Unclassified
36,"US Fed to hike rates this year? Here's what latest data on GDP, inflation from US signal",RSS,,Unclassified
37,Dell's stunning rally: From Trump endorsement to Q1 results - What led to a 101% surge in the US tech stock in 1 month,RSS,,Unclassified
39,Indian stock market: How are Sensex and Nifty 50 likely to perform next week amid ongoing US-Iran war uncertainty?,RSS,,Unclassified
41,Indian stock market: How are Sensex and Nifty 50 likely to perform next week amid ongoing US-Iran war uncertainty?,RSS,,Unclassified
42,Dr Reddy’s Laboratories rings closing bell at New York Stock Exchange to mark 25 years of its listing,RSS,https://www.thehindubusinessline.com/companies/dr-reddys-laboratories-rings-closing-bell-at-new-york-stock-exchange-to-mark-25-years-of-its-listing/article71040155.ece,Unclassified
43,RBI foreign exchange income jumps 52% to ₹1.69 lakh crore in FY26,RSS,https://www.thehindubusinessline.com/markets/forex/rbi-foreign-exchange-income-jumps-52-to-169-lakh-crore-in-fy26/article71038843.ece,Unclassified
44,SEBI approves Upma Chawdhry as MSE Governing Board chairperson,RSS,https://www.thehindubusinessline.com/markets/sebi-approves-upma-chawdhry-as-mse-governing-board-chairperson/article71038291.ece,Unclassified
46,Tata Consultancy Services’ Moody’s Ratings upgraded to A2,RSS,https://www.thehindubusinessline.com/markets/tata-consultancy-services-moodys-ratings-upgraded-to-a2/article71038483.ece,Unclassified
47,"Q4 Results Highlights: IndiGo, RCOM report weak numbers; Asian Paints and IPCA Labs post growth",RSS,https://www.thehindubusinessline.com/markets/q4-results-highlights-today-indigo-nmdc-glenmark-pharma-ipca-lab-ireda-gujarat-gas-natco-pharma-inox-wind-beml-jm-financial-triveni-ashok-leyland-graphite-alkem-bdl-results-29-may-2026/article71032951.ece,Unclassified
48,SEBI simplifies nomination process for demat accounts and mutual funds,RSS,https://www.thehindubusinessline.com/markets/sebi-simplifies-nomination-process-for-demat-accounts-and-mutual-funds/article71038117.ece,Unclassified
49,SEBI fines Suzlon Energy and executives ₹29 crore for misleading finances,RSS,https://www.thehindubusinessline.com/markets/sebi-fines-suzlon-energy-and-executives-29-crore-for-misleading-finances/article71038016.ece,Unclassified
50,"India’s LPG production hits record 52,000 tonnes/day",RSS,https://www.thehindubusinessline.com/markets/commodities/indias-lpg-production-hits-record-52000-tonnesday/article71038047.ece,Unclassified
51,"Sensex crashes over 1,000 points as MSCI rejig sparks heavy selloff",RSS,https://www.thehindubusinessline.com/markets/sensex-crashes-over-1000-points-as-msci-rejig-sparks-heavy-selloff/article71037248.ece,Unclassified
52,Moody’s upgrades Tata Steel rating,RSS,https://www.thehindubusinessline.com/markets/moodys-upgrades-tata-steel-rating/article71038009.ece,Unclassified
53,"SEBI levies ₹28.95 crore penalty on Suzlon Energy, MD, others over misleading financial statements",RSS,https://www.thehindubusinessline.com/markets/sebi-levies-2895-crore-penalty-on-suzlon-energy-md-others-over-misleading-financial-statements/article71037725.ece,Unclassified
54,"Avi Polymers to consider stock split, bonus share issuance",RSS,https://www.thehindubusinessline.com/markets/avi-polymers-to-consider-stock-split-bonus-share-issuance/article71037110.ece,Unclassified
56,"Gold climbs Rs 1,600, silver surges Rs 5,000 amid US-Iran ceasefire hopes",RSS,https://www.thehindubusinessline.com/markets/gold/gold-climbs-rs-1600-silver-surges-rs-5000-amid-us-iran-ceasefire-hopes/article71037208.ece,Unclassified
57,Nifty IT jumps over 2.5% as strong US software earnings revive sector optimism,RSS,https://www.livemint.com/market/stock-market-news/nifty-it-jumps-over-2-5-as-strong-us-software-earnings-revive-sector-optimism-11780313094276.html,Unclassified
58,Multibagger small-cap stock surges 19% to 52-week high despite stock market crash; here's why,RSS,https://www.livemint.com/market/stock-market-news/multibagger-small-cap-stock-surges-19-to-52-week-high-despite-stock-market-crash-heres-why-11780306951370.html,Unclassified
60,"Sensex crashes 500 points, extends losing run to 4th day; what drove the Indian stock market lower?",RSS,https://www.livemint.com/market/stock-market-news/sensex-crashes-500-points-extends-losing-run-to-4th-day-what-drove-the-indian-stock-market-lower-11780308137176.html,Unclassified
61,NMDC Steel shares jump 18% after Q4 profit turnaround; hits 20-month high,RSS,https://www.livemint.com/market/stock-market-news/nmdc-steel-shares-jump-18-after-q4-profit-turnaround-hits-20-month-high-11780306730749.html,Unclassified
63,Do you know what ADRs are? A complete guide for investors,RSS,https://www.livemint.com/market/stock-market-news/do-you-know-what-adrs-are-a-complete-guide-for-investors-11780303458725.html,Unclassified
64,Zee Entertainment share price zooms 7% as firm bags broadcasting rights for 2026 FIFA world cup in India,RSS,https://www.livemint.com/market/stock-market-news/zee-entertainment-share-price-zooms-7-as-firm-to-broadcast-2026-football-world-cup-in-india-11780305370976.html,Unclassified
65,"Rajnandini Fashion IPO allotment date likely today. GMP, steps to check share allotment status online for SME IPO",RSS,https://www.livemint.com/market/ipo/rajnandini-fashion-ipo-allotment-date-likely-today-gmp-steps-to-check-share-allotment-status-online-for-sme-ipo-11780305147308.html,Unclassified
66,Hexagon Nutrition IPO: From financials to key risks — 10 key things to know from the RHP ahead of offer launch,RSS,https://www.livemint.com/market/stock-market-news/hexagon-nutrition-ipo-from-financials-to-key-risks-10-key-things-to-know-from-the-rhp-ahead-of-offer-launch-11780304935081.html,Unclassified
68,Data centres are powering Cummins. Can growth justify the valuation?,RSS,https://www.livemint.com/market/mark-to-market/cummins-india-data-centre-demand-growth-q4fy26-results-valuation-risks-11780298144702.html,Unclassified
69,"AMFI stock re-categorisation: BSE, Vodafone Idea, Jindal Steel, BHEL among potential large-cap entrants",RSS,https://www.livemint.com/market/stock-market-news/amfi-stock-re-categorisation-bse-vodafone-idea-jindal-steel-bhel-among-potential-large-cap-entrants-11780302137625.html,Unclassified
71,Suzlon Energy share price extends losses for second straight session. Details here,RSS,https://www.livemint.com/market/stock-market-news/suzlon-energy-share-price-extends-losses-for-second-straight-session-details-here-11780299494446.html,Unclassified
72,HDFC Bank share price trades in green after losing for three straight sessions,RSS,https://www.livemint.com/market/stock-market-news/hdfc-bank-share-price-trades-green-after-losing-for-the-three-straight-sessions-11780298447242.html,Unclassified
